id,word,alt,type,bee,group,origin,nTried,nMistakes,weight
72,lookout,,,one,champions,,1,0,1
73,twinge,,,one,champions,,1,0,1
74,gorp,,,one,study,,1,0,1
75,golden,,,one,champions,,1,0,1
76,neigh,,,one,champions,,1,0,1
77,cabin,,,one,study,,1,0,1
78,fedora,,,one,champions,,1,0,1
79,elderly,,,one,champions,,1,0,1
80,shebang,,,one,champions,,1,0,1
81,flannel,,,one,champions,,1,0,1
82,parsley,,,one,champions,,1,0,1
83,junior,,,one,champions,,1,0,1
84,honeybee,,,one,champions,,1,0,1
85,tickled,,,one,champions,,1,0,1
86,useful,,,one,champions,,1,0,1
87,sofa,,,one,champions,,1,0,1
88,lamentable,,,one,champions,,1,0,1
89,qualitative,,,one,champions,,1,0,1
90,magician,,,one,champions,,1,0,1
91,satisfactory,,,one,champions,,1,0,1
92,weakness,,,one,champions,,1,0,1
93,tangible,,,one,champions,,1,0,1
94,sound,,,one,study,,1,0,1
95,proper,,,one,study,,1,0,1
96,Monday,,,one,study,,1,0,1
97,salsa,,,one,champions,,1,0,1
98,ugliness,,,one,champions,,1,0,1
99,mosquito,,,one,champions,,1,0,1
100,proof,,,one,study,,1,0,1
101,kindred,,,one,champions,,1,0,1
102,cheek,,,one,champions,,1,0,1
103,apprehensive,,,one,champions,,1,0,1
104,chimes,,,one,study,,1,0,1
105,developer,,,one,champions,,1,0,1
106,frozen,,,one,study,,1,0,1
107,scoop,,,one,study,,1,0,1
108,daresay,,,one,champions,,1,0,1
109,newbie,,,one,champions,,1,0,1
110,pieces,,,one,study,,1,0,1
111,stubble,,,one,champions,,1,0,1
112,lucky,,,one,champions,,1,0,1
113,monstrosity,,,one,champions,,1,0,1
114,glimmer,,,one,champions,,1,0,1
115,culinary,,,one,champions,,1,0,1
116,infringe,,,one,champions,,1,0,1
117,empty,,,one,champions,,1,0,1
118,recluse,,,one,champions,,1,0,1
119,granola,,,one,champions,,1,0,1
120,silly,,,one,study,,1,0,1
121,enchantment,,,one,champions,,1,0,1
122,angora,,,one,champions,,1,0,1
123,historical,,,one,champions,,1,0,1
124,interloper,,,one,champions,,1,0,1
125,moisture,,,one,champions,,1,1,1
126,kidney,,,one,champions,,1,0,1
127,conductor,,,one,champions,,1,0,1
128,napkin,,,one,champions,,1,0,1
129,grub,,,one,study,,1,0,1
130,abruptly,,,one,champions,,1,0,1
131,stark,,,one,study,,1,0,1
132,sawdust,,,one,study,,1,1,1
133,tantrum,,,one,champions,,1,0,1
134,cone,,,one,study,,1,0,1
135,knack,,,one,champions,,1,1,1
136,cement,,,one,champions,,1,0,1
137,treadmill,,,one,champions,,1,0,1
138,volumetric,,,one,champions,,1,0,1
139,billboard,,,one,study,,1,0,1
140,manger,,,one,study,,1,0,1
141,hooligan,,,one,champions,,1,0,1
142,talent,,,one,champions,,1,0,1
143,lettuce,,,one,champions,,1,0,1
144,beagle,,,one,champions,,1,0,1
145,pulley,,,one,champions,,1,0,1
146,crowd,,,one,study,,1,0,1
147,crew,,,one,study,,1,0,1
148,genetic,,,one,champions,,1,0,1
149,shield,,,one,champions,,1,0,1
150,crumpet,,,one,champions,,1,0,1
151,headlong,,,one,champions,,1,0,1
152,bonfire,,,one,champions,,1,0,1
153,fumble,,,one,study,,1,0,1
154,sonar,,,one,champions,,1,0,1
155,satellite,,,one,champions,,1,1,1
156,guffaw,,,one,champions,,1,0,1
157,everglades,,,one,champions,,1,0,1
158,bugaboo,,,one,champions,,1,0,1
159,twirled,,,one,study,,1,0,1
160,shadow,,,one,champions,,1,0,1
161,lactose,,,one,champions,,1,0,1
162,aromatherapy,,,one,champions,,1,0,1
163,tongue,,,one,champions,,1,0,1
164,cuckoo,,,one,champions,,1,1,1
165,ferocious,,,one,champions,,1,0,1
166,janitor,,,one,champions,,1,1,1
167,illusionist,,,one,champions,,1,0,1
168,deny,,,one,study,,1,0,1
169,wildcat,,,one,champions,,1,0,1
170,cooperate,,,one,champions,,1,0,1
171,butterscotch,,,one,champions,,1,1,1
172,esteem,,,one,champions,,1,0,1
173,enfranchise,,,one,champions,,1,0,1
174,innermost,,,one,champions,,1,0,1
175,incentive,,,one,champions,,1,0,1
176,sparkle,,,one,champions,,1,0,1
177,overrun,,,one,champions,,1,0,1
178,misery,,,one,champions,,1,0,1
179,upshot,,,one,champions,,1,0,1
180,privacy,,,one,champions,,1,0,1
181,horizon,,,one,champions,,1,0,1
182,parasite,,,one,champions,,1,0,1
183,crate,,,one,study,,1,0,1
184,bakery,,,one,champions,,1,0,1
185,plumbing,,,one,study,,1,0,1
186,slipshod,,,one,champions,,1,0,1
187,badger,,,one,champions,,1,0,1
188,spreadsheet,,,one,champions,,1,0,1
189,ravine,,,one,champions,,1,0,1
190,fortune,,,one,champions,,1,0,1
191,graham,,,one,champions,,1,0,1
192,deputy,,,one,champions,,1,0,1
193,stench,,,one,champions,,1,0,1
194,synthetic,,,one,champions,,1,0,1
195,tarmac,,,one,champions,,1,0,1
196,glimpse,,,one,champions,,1,0,1
197,omen,,,one,champions,,1,0,1
198,surefire,,,one,champions,,1,0,1
199,axle,,,one,champions,,1,0,1
200,iota,,,one,champions,,1,0,1
201,explosive,,,one,champions,,1,0,1
202,drizzle,,,one,champions,,1,0,1
203,behold,,,one,study,,1,0,1
204,tennis,,,one,champions,,1,0,1
205,penguin,,,one,champions,,1,0,1
206,eggplant,,,one,champions,,1,0,1
207,galaxy,,,one,champions,,1,0,1
208,caravan,,,one,champions,,1,0,1
209,fantastically,,,one,champions,,1,0,1
210,crayon,,,one,champions,,1,0,1
211,never,,,one,study,,1,0,1
212,slogan,,,one,champions,,1,0,1
213,dojo,,,one,champions,,1,0,1
214,triumphant,,,one,champions,,1,0,1
215,indigo,,,one,champions,,1,0,1
216,ragamuffin,,,one,champions,,1,0,1
217,lounge,,,one,champions,,1,0,1
218,hook,,,one,study,,1,0,1
219,yeti,,,one,champions,,1,0,1
220,mischief,,,one,champions,,1,0,1
221,poncho,,,one,champions,,1,0,1
222,saga,,,one,champions,,1,0,1
223,hankering,,,one,champions,,1,0,1
224,forgive,,,one,study,,1,0,1
225,bobcat,,,one,study,,1,0,1
226,velcro,,,one,champions,,1,0,1
227,kiddo,,,one,study,,1,0,1
228,mouth,,,one,study,,1,0,1
229,wistful,,,one,champions,,1,0,1
230,magnificent,,,one,champions,,1,1,1
231,alpha,,,one,champions,,1,0,1
232,petal,,,one,study,,1,0,1
233,pedigree,,,one,champions,,1,0,1
234,grown-ups,,,one,study,,1,0,1
235,modesty,,,one,champions,,1,0,1
236,adrift,,,one,study,,1,0,1
237,marginalize,,,one,champions,,1,0,1
238,ribbon,,,one,study,,1,0,1
239,toddler,,,one,champions,,1,0,1
240,banana,,,one,champions,,1,0,1
241,farfetched,,,one,champions,,1,0,1
242,simmer,,,one,champions,,1,0,1
243,miraculous,,,one,champions,,1,0,1
244,onion,,,one,champions,,1,0,1
245,piratical,,,one,champions,,1,0,1
246,whittle,,,one,champions,,1,0,1
247,rooster,,,one,champions,,1,0,1
248,hypnotic,,,one,champions,,1,0,1
249,calzone,,,one,champions,,1,0,1
250,organza,,,one,champions,,1,0,1
251,criminal,,,one,champions,,1,1,1
252,normative,,,one,champions,,1,0,1
253,hamstring,,,one,champions,,1,0,1
254,permafrost,,,one,champions,,1,0,1
255,neon,,,one,study,,1,0,1
256,Kodiak,,,one,champions,,1,1,1
257,goblet,,,one,champions,,1,0,1
258,cliff,,,one,study,,1,0,1
259,bribery,,,one,champions,,1,0,1
260,demolition,,,one,champions,,1,0,1
261,freight,,,one,champions,,1,0,1
262,squirm,,,one,champions,,1,0,1
263,chain,,,one,study,,1,0,1
264,shoo,,,one,study,,1,0,1
265,coffee,,,one,champions,,1,0,1
266,trapezoid,,,one,champions,,1,0,1
267,greedy,,,one,study,,1,0,1
268,astonish,,,one,champions,,1,0,1
269,monopolize,,,one,champions,,1,0,1
270,whisk,,,one,champions,,1,0,1
271,results,,,one,study,,1,0,1
272,truth,,,one,champions,,1,0,1
273,methodology,,,one,champions,,1,0,1
274,clodhopper,,,one,champions,,1,0,1
275,island,,,one,champions,,1,0,1
276,pigeon,,,one,champions,,1,0,1
277,happenstance,,,one,champions,,1,0,1
278,iteration,,,one,champions,,1,0,1
279,rocket,,,one,champions,,1,1,1
280,size,,,one,study,,1,0,1
281,zither,,,one,champions,,1,0,1
282,blouse,,,one,champions,,1,0,1
283,turnip,,,one,champions,,1,0,1
284,furtive,,,one,champions,,1,0,1
285,jumbo,,,one,champions,,1,0,1
286,roller,,,one,study,,1,0,1
287,understand,,,one,study,,1,0,1
288,gauntlet,,,one,champions,,1,0,1
289,reactionary,,,one,champions,,1,0,1
290,amphibian,,,one,champions,,1,0,1
291,bookworm,,,one,champions,,1,0,1
292,farewell,,,one,champions,,1,0,1
293,vacation,,,one,champions,,1,0,1
294,necklace,,,one,champions,,1,0,1
295,mayhem,,,one,champions,,1,0,1
296,shrimp,,,one,champions,,1,0,1
297,admit,,,one,study,,1,0,1
298,bias,,,one,champions,,1,0,1
299,leeway,,,one,champions,,1,0,1
300,polo,,,one,study,,1,0,1
301,erase,,,one,champions,,1,0,1
302,hula,,,one,champions,,1,1,1
303,kiln,,,one,champions,,1,0,1
304,scold,,,one,champions,,1,0,1
305,webisode,,,one,champions,,1,0,1
306,keyhole,,,one,champions,,1,0,1
307,bingo,,,one,study,,1,0,1
308,tiger,,,one,champions,,1,0,1
309,pranks,,,one,study,,1,0,1
310,nationalism,,,one,champions,,1,0,1
311,ho,,,one,champions,,1,0,1
312,detention,,,one,champions,,1,0,1
313,verbiage,,,one,champions,,1,1,1
314,locker,,,one,champions,,1,0,1
315,pardon,,,one,study,,1,0,1
316,isolation,,,one,champions,,1,0,1
317,tolerable,,,one,champions,,1,0,1
318,moxie,,,one,champions,,1,0,1
319,hodgepodge,,,one,champions,,1,0,1
320,shake,,,one,study,,1,0,1
321,manufacture,,,one,champions,,1,1,1
322,amigo,,,one,champions,,1,0,1
323,grumbling,,,one,champions,,1,0,1
324,silver,,,one,champions,,1,0,1
325,water,,,one,champions,,1,0,1
326,potato,,,one,champions,,1,0,1
327,yankee,,,one,champions,,1,0,1
328,arcade,,,one,champions,,1,0,1
329,nuance,,,one,champions,,1,0,1
330,companion,,,one,champions,,1,0,1
331,filters,,,one,study,,1,1,1
332,desk,,,one,study,,1,0,1
333,onshore,,,one,study,,1,0,1
334,sniffle,,,one,study,,1,0,1
335,skeleton,,,one,champions,,1,0,1
336,raspberry,,,one,champions,,1,1,1
337,teaspoon,,,one,champions,,1,0,1
338,abandon,,,one,champions,,1,0,1
339,kiwi,,,one,champions,,1,0,1
340,sluggard,,,one,champions,,1,0,1
341,astute,,,one,champions,,1,0,1
342,arrogant,,,one,champions,,1,0,1
343,spelunker,,,one,champions,,1,0,1
344,mellow,,,one,champions,,1,0,1
345,splurge,,,one,champions,,1,0,1
346,chowder,,,one,champions,,1,0,1
347,brim,,,one,study,,1,0,1
348,bathtub,,,one,champions,,1,0,1
349,voluntary,,,one,champions,,1,0,1
350,dwindled,,,one,champions,,1,0,1
351,civics,,,one,champions,,1,0,1
352,purse,,,one,champions,,1,0,1
353,gimmick,,,one,champions,,1,0,1
354,erode,,,one,champions,,1,0,1
355,relish,,,one,champions,,1,0,1
356,fragile,,,one,champions,,1,0,1
357,quart,,,one,champions,,1,0,1
358,sinus,,,one,champions,,1,0,1
359,fashionista,,,one,champions,,1,0,1
360,gander,,,one,champions,,1,0,1
361,balderdash,,,one,champions,,1,0,1
362,entrance,,,one,champions,,1,0,1
363,carrot,,,one,champions,,1,0,1
364,climate,,,one,champions,,1,0,1
365,routine,,,one,champions,,1,0,1
366,mugwump,,,one,champions,,1,0,1
367,squall,squawl,No preference,one,champions,,1,0,1
368,fuddy-duddy,,,one,champions,,1,0,1
369,mister,,,one,champions,,1,0,1
370,wholehearted,,,one,champions,,1,0,1
371,loppers,,,one,study,,1,0,1
372,amulet,,,one,champions,,1,0,1
373,Pinkerton,,,one,champions,,1,0,1
374,hazelnut,,,one,champions,,1,0,1
375,merchandise,,,one,champions,,1,0,1
376,twee,,,one,champions,,1,0,1
377,knuckle,,,one,champions,,1,0,1
378,hangnail,,,one,champions,,1,0,1
379,punting,,,one,study,,1,0,1
380,meekness,,,one,champions,,1,0,1
381,munchkin,,,one,champions,,1,0,1
382,dodge,,,one,champions,,1,0,1
383,lambkin,,,one,champions,,1,0,1
384,social,,,one,study,,1,0,1
385,dauntlessly,,,one,champions,,1,0,1
386,apron,,,one,champions,,1,0,1
387,primatologist,,,one,champions,,1,0,1
388,shoulder,,,one,champions,,1,1,1
389,rascal,,,one,champions,,1,0,1
390,widget,,,one,champions,,1,0,1
391,gelato,,,one,champions,,1,0,1
392,stray,,,one,study,,1,0,1
393,antennas,,,one,study,,1,0,1
394,dawdle,,,one,champions,,1,1,1
395,pie,,,one,study,,1,0,1
396,dandelion,,,one,champions,,1,0,1
397,distraught,,,one,champions,,1,0,1
398,apple,,,one,champions,,1,0,1
399,invoke,,,one,champions,,1,0,1
400,myself,,,one,champions,,1,0,1
401,pleasant,,,one,champions,,1,0,1
402,remedial,,,one,champions,,1,0,1
403,minority,,,one,champions,,1,0,1
404,wombat,,,one,champions,,1,0,1
405,meteor,,,one,champions,,1,0,1
406,explanation,,,one,champions,,1,0,1
407,yellowfin,,,one,champions,,1,0,1
408,health,,,one,study,,1,0,1
409,dimension,,,one,champions,,1,0,1
410,foxes,,,one,champions,,1,0,1
411,plot,,,one,study,,1,0,1
412,basilisk,,,one,champions,,1,1,1
413,savvy,,,one,champions,,1,0,1
414,cough,,,one,champions,,1,0,1
415,memorandum,,,one,champions,,1,0,1
416,twice,,,one,champions,,1,0,1
417,rover,,,one,study,,1,0,1
418,maximum,,,one,champions,,1,0,1
419,estimate,,,one,champions,,1,0,1
420,competitive,,,one,champions,,1,0,1
421,chicken,,,one,study,,1,0,1
422,mandate,,,one,champions,,1,0,1
423,geometric,,,one,champions,,1,0,1
424,rhinestone,,,one,champions,,1,0,1
425,boycott,,,one,champions,,1,0,1
426,scruple,,,one,champions,,1,0,1
427,guardian,,,one,champions,,1,2,1
428,powder,,,one,study,,1,0,1
429,volcano,,,one,champions,,1,0,1
430,yarn,,,one,champions,,1,0,1
431,forage,,,one,champions,,1,0,1
432,bellyache,,,one,champions,,1,0,1
433,puzzles,,,one,champions,,1,0,1
434,religious,,,one,champions,,1,0,1
435,genuine,,,one,champions,,1,0,1
436,deodorant,,,one,champions,,1,0,1
437,loathe,,,one,champions,,1,0,1
438,glucose,,,one,champions,,1,0,1
439,utterable,,,one,champions,,1,0,1
440,hydra,,,one,champions,,1,0,1
441,thicket,,,one,champions,,1,0,1
442,rollicking,,,one,champions,,1,0,1
443,manta,,,one,champions,,1,0,1
444,mortal,,,one,champions,,1,0,1
445,motto,,,one,champions,,1,0,1
446,swipe,,,one,champions,,1,0,1
447,imbibe,,,one,champions,,1,1,1
448,ovation,,,one,champions,,1,0,1
449,ripple,,,one,study,,1,0,1
450,distinctive,,,one,champions,,1,0,1
451,admirer,,,one,champions,,1,0,1
452,knock,,,one,champions,,1,0,1
453,generosity,,,one,champions,,1,0,1
454,sticky,,,one,champions,,1,0,1
455,stunts,,,one,study,,1,0,1
456,beckon,,,one,champions,,1,0,1
457,thunderbolt,,,one,champions,,1,0,1
458,linen,,,one,champions,,1,0,1
459,scent,,,one,champions,,1,0,1
460,domino,,,one,champions,,1,0,1
461,impostor,imposter,No preference,one,champions,,1,0,1
462,gnash,,,one,champions,,1,0,1
463,reflect,,,one,champions,,1,0,1
464,votive,,,one,champions,,1,0,1
465,metadata,,,one,champions,,1,0,1
466,marine,,,one,champions,,1,0,1
467,ingredient,,,one,champions,,1,0,1
468,cricket,,,one,champions,,1,0,1
469,shrugged,,,one,study,,1,1,1
470,smiled,,,one,study,,1,0,1
471,garment,,,one,champions,,1,0,1
472,jersey,,,one,champions,,1,0,1
473,mower,,,one,champions,,1,0,1
474,mangrove,,,one,champions,,1,0,1
475,handcuffs,,,one,champions,,1,0,1
476,stubborn,,,one,study,,1,0,1
477,venomous,,,one,champions,,1,1,1
478,owlishly,,,one,champions,,1,0,1
479,emotional,,,one,champions,,1,0,1
480,difficult,,,one,champions,,1,0,1
481,major,,,one,champions,,1,0,1
482,bogus,,,one,champions,,1,0,1
483,peekaboo,,,one,champions,,1,1,1
484,around,,,one,champions,,1,0,1
485,emerge,,,one,champions,,1,0,1
486,sum,,,one,champions,,1,0,1
487,Romeo,,,one,champions,,1,0,1
488,canteen,,,one,champions,,1,0,1
489,bestow,,,one,champions,,1,0,1
490,romaine,,,one,champions,,1,0,1
491,pellet,,,one,champions,,1,0,1
492,hamlet,,,one,champions,,1,0,1
493,intellectual,,,one,champions,,1,0,1
494,fructose,,,one,champions,,1,0,1
495,McMansion,,,one,champions,,1,0,1
496,shamrock,,,one,champions,,1,0,1
497,raisin,,,one,champions,,1,0,1
498,snore,,,one,champions,,1,0,1
499,worrywart,,,one,champions,,1,1,1
500,lantern,,,one,champions,,1,0,1
501,peppermint,,,one,study,,1,0,1
502,special,,,one,study,,1,0,1
503,domineering,,,one,champions,,1,0,1
504,formalize,*formalise,British,one,champions,,1,0,1
505,apology,,,one,champions,,1,0,1
506,accurate,,,one,champions,,1,0,1
507,muscular,,,one,champions,,1,0,1
508,snarl,,,one,study,,1,0,1
509,straw,,,one,champions,,1,0,1
510,pilferer,,,one,champions,,1,0,1
511,holler,,,one,study,,1,0,1
512,cancel,,,one,champions,,1,0,1
513,ornament,,,one,champions,,1,0,1
514,kindergarten,,,one,champions,,1,1,1
515,peach,,,one,study,,1,0,1
516,number,,,one,study,,1,0,1
517,jargon,,,one,champions,,1,0,1
518,zebra,,,one,champions,,1,0,1
519,amazed,,,one,study,,1,0,1
520,peacenik,,,one,champions,,1,0,1
521,cucumber,,,one,champions,,1,0,1
522,curries,,,one,champions,,1,0,1
523,umbrella,,,one,champions,,1,0,1
524,famous,,,one,champions,,1,0,1
525,incendiary,,,one,champions,,1,0,1
526,faint,,,one,study,,1,0,1
527,integrity,,,one,champions,,1,0,1
528,melodramatic,,,one,champions,,1,0,1
529,tooth,,,one,champions,,1,1,1
530,perplex,,,one,champions,,1,0,1
531,weevil,,,one,champions,,1,0,1
532,monumental,,,one,champions,,1,0,1
533,clover,,,one,champions,,1,0,1
534,cooking,,,one,study,,1,0,1
535,originate,,,one,champions,,1,0,1
536,jolly,,,one,study,,1,0,1
537,outrageous,,,one,champions,,1,0,1
538,recipient,,,one,champions,,1,0,1
539,daughter,,,one,champions,,1,0,1
540,reckon,,,one,champions,,1,0,1
541,mince,,,one,champions,,1,1,1
542,failure,,,one,champions,,1,0,1
543,flattery,,,one,champions,,1,0,1
544,thawed,,,one,champions,,1,0,1
545,soda,,,one,study,,1,0,1
546,troll,,,one,champions,,1,0,1
547,grouse,,,one,champions,,1,0,1
548,brass,,,one,study,,1,0,1
549,cactus,,,one,champions,,1,0,1
550,pigsty,,,one,champions,,1,0,1
551,hall,,,one,study,,1,0,1
552,mix,,,one,study,,1,0,1
553,vulpine,,,one,champions,,1,1,1
554,fortification,,,one,champions,,1,0,1
555,trencher,,,one,champions,,1,0,1
556,bristle,,,one,champions,,1,0,1
557,spider,,,one,champions,,1,0,1
558,yearn,,,one,champions,,1,0,1
559,lambasted,,,one,champions,,1,0,1
560,misconception,,,one,champions,,1,0,1
561,decade,,,one,champions,,1,0,1
562,mundane,,,one,champions,,1,0,1
563,sturdy,,,one,champions,,1,0,1
564,tussle,,,one,champions,,1,0,1
565,snippet,,,one,champions,,1,0,1
566,pastel,,,one,champions,,1,0,1
567,mogul,,,one,champions,,1,0,1
568,anyway,,,one,champions,,1,0,1
569,functionary,,,one,champions,,1,0,1
570,trope,,,one,champions,,1,0,1
571,caterpillar,,,one,champions,,1,0,1
572,lionize,,,one,champions,,1,1,1
573,ignite,,,one,champions,,1,0,1
574,ladybug,,,one,champions,,1,0,1
575,tibia,,,one,champions,,1,0,1
576,homework,,,one,champions,,1,0,1
577,flute,,,one,champions,,1,0,1
578,organic,,,one,champions,,1,0,1
579,listener,,,one,champions,,1,0,1
580,season,,,one,champions,,1,0,1
581,flustered,,,one,study,,1,0,1
582,Americana,,,one,champions,,1,0,1
583,measly,,,one,champions,,1,0,1
584,target,,,one,champions,,1,0,1
585,forbidden,,,one,champions,,1,0,1
586,olive,,,one,champions,,1,0,1
587,haggle,,,one,champions,,1,0,1
588,bushel,,,one,champions,,1,0,1
589,strong,,,one,champions,,1,0,1
590,jamboree,,,one,champions,,1,0,1
591,timber,,,one,champions,,1,0,1
592,freckle,,,one,champions,,1,0,1
593,dandruff,,,one,champions,,1,0,1
594,cartoon,,,one,champions,,1,0,1
595,chaotic,,,one,champions,,1,0,1
596,factoid,,,one,champions,,1,0,1
597,ambitious,,,one,champions,,1,0,1
598,briefcase,,,one,champions,,1,0,1
599,gymnastics,,,one,champions,,1,0,1
600,collect,,,one,study,,1,1,1
601,aloha,,,one,champions,,1,0,1
602,bubbly,,,one,champions,,1,0,1
603,secret,,,one,study,,1,0,1
604,raven,,,one,champions,,1,0,1
605,imitative,,,one,champions,,1,0,1
606,paraphrase,,,one,champions,,1,0,1
607,receptacle,,,one,champions,,1,0,1
608,seal,,,one,study,,1,0,1
609,envoy,,,one,champions,,1,0,1
610,midriff,,,one,champions,,1,0,1
611,walnut,,,one,study,,1,0,1
612,drum,,,one,study,,1,0,1
613,award,,,one,champions,,1,0,1
614,genius,,,one,champions,,1,0,1
615,taco,,,one,champions,,1,0,1
616,materialize,,,one,champions,,1,0,1
617,warning,,,one,champions,,1,0,1
618,iceberg,,,one,champions,,1,0,1
619,problem,,,one,champions,,1,0,1
620,famished,,,one,champions,,1,0,1
621,software,,,one,champions,,1,0,1
622,kosher,,,one,champions,,1,0,1
623,marathon,,,one,champions,,1,0,1
624,missile,,,one,champions,,1,0,1
625,kangaroo,,,one,champions,,1,0,1
626,frivolous,,,one,champions,,1,1,1
627,dollars,,,one,champions,,1,0,1
628,plaintiff,,,one,champions,,1,0,1
629,cutlery,,,one,champions,,1,0,1
630,skateboard,,,one,champions,,1,0,1
631,aviation,,,one,champions,,1,0,1
632,gung ho,,,one,champions,,1,0,1
633,militant,,,one,champions,,1,0,1
634,jealousy,,,one,champions,,1,0,1
635,gargantuan,,,one,champions,,1,0,1
636,Amazon,,,one,champions,,1,0,1
637,reliable,,,one,champions,,1,0,1
638,bawl,,,one,champions,,1,0,1
639,mildew,,,one,champions,,1,0,1
640,honest,,,one,study,,1,0,1
641,gradual,,,one,champions,,1,0,1
642,beeswax,,,one,study,,1,0,1
643,turret,,,one,champions,,1,0,1
644,publish,,,one,champions,,1,0,1
645,propaganda,,,one,champions,,1,1,1
646,lawyer,,,one,champions,,1,0,1
647,pond,,,one,study,,1,0,1
648,bauble,,,one,champions,,1,1,1
649,spinal,,,one,champions,,1,0,1
650,jabberwocky,,,one,champions,,1,0,1
651,hem,,,one,study,,1,0,1
652,finish,,,one,study,,1,1,1
653,evince,,,one,champions,,1,0,1
654,skedaddle,,,one,champions,,1,0,1
655,holiday,,,one,champions,,1,0,1
656,carnival,,,one,champions,,1,0,1
657,pattern,,,one,champions,,1,0,1
658,novelist,,,one,champions,,1,0,1
659,journal,,,one,champions,,1,0,1
660,parenthetic,,,one,champions,,1,0,1
661,legacy,,,one,champions,,1,0,1
662,jangled,,,one,study,,1,0,1
663,magma,,,one,champions,,1,0,1
664,flooey,,,one,champions,,1,0,1
665,headdress,,,one,champions,,1,0,1
666,flexible,,,one,champions,,1,0,1
667,supper,,,one,champions,,1,0,1
668,tasteless,,,one,champions,,1,0,1
669,jubilant,,,one,champions,,1,0,1
670,lexicon,,,one,champions,,1,0,1
671,permission,,,one,champions,,1,0,1
672,buffoonery,,,one,champions,,1,0,1
673,eavesdrop,,,one,champions,,1,0,1
674,arborio,,,one,champions,,1,0,1
675,dough,,,one,champions,,1,0,1
676,bedlam,,,one,champions,,1,1,1
677,cattail,,,one,champions,,1,0,1
678,science,,,one,champions,,1,0,1
679,circle,,,one,champions,,1,0,1
680,barefoot,,,one,champions,,1,0,1
681,botch,,,one,champions,,1,0,1
682,medallion,,,one,champions,,1,0,1
683,nacho,,,one,champions,,1,0,1
684,klutz,,,one,champions,,1,0,1
685,broth,,,one,study,,1,0,1
686,landmark,,,one,champions,,1,0,1
687,bebop,,,one,champions,,1,0,1
688,benches,,,one,study,,1,0,1
689,months,,,one,champions,,1,0,1
690,puppets,,,one,study,,1,0,1
691,favorite,*favourite,British,one,champions,,1,0,1
692,bargain,,,one,champions,,1,0,1
693,nourish,,,one,champions,,1,0,1
694,divine,,,one,champions,,1,0,1
695,quack,,,one,champions,,1,0,1
696,introverted,,,one,champions,,1,0,1
697,still,,,one,study,,1,0,1
698,barber,,,one,study,,1,0,1
699,bagpipe,,,one,champions,,1,0,1
