id,word,alt,bee,group,nTried,nMistakes,weight
94,stuff,,one,study,0,0,1
95,least,,one,study,0,0,1
96,little,,one,study,0,0,1
97,felt,,one,study,0,0,1
98,summer,,one,study,0,0,1
99,carefully,,one,study,0,0,1
100,would,,one,study,0,0,1
101,shambles,,one,study,0,0,1
102,taillight,,one,study,0,0,1
103,quicken,,one,study,0,0,1
104,presence,,one,study,0,0,1
105,sizzle,,one,study,0,0,1
106,hatchling,,one,study,0,0,1
107,razz,,one,study,0,0,1
108,followed,,one,study,0,0,1
109,purple,,one,study,0,0,1
110,entire,,one,study,0,0,1
111,December,,one,study,0,0,1
112,sudden,,one,study,0,0,1
113,slither,,one,study,0,0,1
114,combed,,one,study,0,0,1
115,patrol,,one,study,0,0,1
116,epic,,one,study,0,0,1
117,vital,,one,study,0,0,1
118,window,,one,study,0,0,1
119,pocket,,one,study,0,0,1
120,project,,one,study,0,0,1
121,goofy,,one,study,0,0,1
122,remember,,one,study,0,0,1
123,travel,,one,study,0,0,1
124,cranky,,one,study,0,0,1
125,career,,one,study,0,0,1
126,disease,,one,study,0,0,1
127,trophy,,one,study,0,0,1
128,theater,theatre,one,study,0,0,1
129,athlete,,one,study,0,0,1
130,jotted,,one,study,0,0,1
131,swirled,,one,study,0,0,1
132,amount,,one,study,0,0,1
133,sighed,,one,study,0,0,1
134,sheen,,one,study,0,0,1
135,worse,,one,study,0,0,1
136,sandwich,,one,study,0,0,1
137,duo,,one,study,0,0,1
138,gleaming,,one,study,0,0,1
139,repress,,one,study,0,0,1
140,clothes,,one,study,0,0,1
141,either,,one,study,0,0,1
142,rely,,one,study,0,0,1
143,chose,,one,study,0,0,1
144,belle,,one,study,0,0,1
145,else,,one,study,0,0,1
146,picture,,one,study,0,0,1
147,prepare,,one,study,0,0,1
148,percent,,one,study,0,0,1
149,afraid,,one,study,0,0,1
150,rescue,,one,study,0,0,1
151,gradual,,one,champions,0,0,1
152,ferocious,,one,champions,0,0,1
153,frequently,,one,champions,0,0,1
154,permission,,one,champions,0,0,1
155,towel,,one,champions,0,0,1
156,sundae,,one,champions,0,0,1
157,ornament,,one,champions,0,0,1
158,rooster,,one,champions,0,0,1
159,scold,,one,champions,0,0,1
160,organza,,one,champions,0,0,1
161,fragile,,one,champions,0,0,1
162,galaxy,,one,champions,0,0,1
163,complaint,,one,champions,0,0,1
164,curries,,one,champions,0,0,1
165,tennis,,one,champions,0,0,1
166,grumbling,,one,champions,0,0,1
167,garlic,,one,champions,0,0,1
168,hula,,one,champions,0,0,1
169,reactionary,,one,champions,0,0,1
170,muscular,,one,champions,0,0,1
171,drizzle,,one,champions,0,0,1
172,accurate,,one,champions,0,0,1
173,studio,,one,champions,0,0,1
174,illusionist,,one,champions,0,0,1
175,genetic,,one,champions,0,0,1
176,levity,,one,champions,0,0,1
177,moisture,,one,champions,0,0,1
178,toughness,,one,champions,0,0,1
179,tasteless,,one,champions,0,0,1
180,astute,,one,champions,0,0,1
181,turtle,,one,champions,0,0,1
182,Pinkerton,,one,champions,0,0,1
183,fortune,,one,champions,0,0,1
184,sluggard,,one,champions,0,0,1
185,bedlam,,one,champions,0,0,1
186,shortfall,,one,champions,0,0,1
187,cowlick,,one,champions,0,0,1
188,opinionated,,one,champions,0,0,1
189,slogan,,one,champions,0,0,1
190,triumphant,,one,champions,0,0,1
191,parenthetic,,one,champions,0,0,1
192,listener,,one,champions,0,0,1
193,guardian,,one,champions,0,0,1
194,dwindled,,one,champions,0,0,1
195,fraught,,one,champions,0,0,1
196,sturdy,,one,champions,0,0,1
197,treadmill,,one,champions,0,0,1
198,originate,,one,champions,0,0,1
199,forfend,forefend,one,champions,0,0,1
200,eavesdrop,,one,champions,0,0,1
201,January,,one,champions,0,0,1
202,scruple,,one,champions,0,0,1
203,moxie,,one,champions,0,0,1
204,winnow,,one,champions,0,0,1
205,incentive,,one,champions,0,0,1
206,admirer,,one,champions,0,0,1
207,emotional,,one,champions,0,0,1
208,chia,,one,champions,0,0,1
209,raspberry,,one,champions,0,0,1
210,bogus,,one,champions,0,0,1
211,recoup,,one,champions,0,0,1
212,bookworm,,one,champions,0,0,1
213,veteran,,one,champions,0,0,1
214,erase,,one,champions,0,0,1
215,handcuffs,,one,champions,0,0,1
216,spinal,,one,champions,0,0,1
217,demolition,,one,champions,0,0,1
218,gargantuan,,one,champions,0,0,1
219,salsa,,one,champions,0,0,1
220,chaotic,,one,champions,0,0,1
221,shrimp,,one,champions,0,0,1
222,mandate,,one,champions,0,0,1
223,turret,,one,champions,0,0,1
224,pigeon,,one,champions,0,0,1
225,satellite,,one,champions,0,0,1
226,parasite,,one,champions,0,0,1
227,favorite,favourite,one,champions,0,0,1
228,cascade,,one,champions,0,0,1
229,dandelion,,one,champions,0,0,1
230,famous,,one,champions,0,0,1
231,pristine,,one,champions,0,0,1
232,golden,,one,champions,0,0,1
233,modesty,,one,champions,0,0,1
234,amphibian,,one,champions,0,0,1
235,jealousy,,one,champions,0,0,1
236,remedial,,one,champions,0,0,1
237,vouch,,one,champions,0,0,1
238,trivia,,one,champions,0,0,1
239,shoulder,,one,champions,0,0,1
240,zebra,,one,champions,0,0,1
241,butterscotch,,one,champions,0,0,1
242,apron,,one,champions,0,0,1
243,beagle,,one,champions,0,0,1
244,kidney,,one,champions,0,0,1
245,wistful,,one,champions,0,0,1
246,raven,,one,champions,0,0,1
247,fructose,,one,champions,0,0,1
248,Amazon,,one,champions,0,0,1
249,companion,,one,champions,0,0,1
250,panorama,,one,champions,0,0,1
251,gimmick,,one,champions,0,0,1
252,flannel,,one,champions,0,0,1
253,cucumber,,one,champions,0,0,1
254,McMansion,,one,champions,0,0,1
255,janitor,,one,champions,0,0,1
256,lionize,,one,champions,0,0,1
257,headdress,,one,champions,0,0,1
258,ludicrous,,one,champions,0,0,1
259,pear,,one,champions,0,0,1
260,system,,one,champions,0,0,1
261,pedigree,,one,champions,0,0,1
262,empty,,one,champions,0,0,1
263,amulet,,one,champions,0,0,1
264,guess,,one,champions,0,0,1
265,magician,,one,champions,0,0,1
266,carrot,,one,champions,0,0,1
267,meteor,,one,champions,0,0,1
268,distraught,,one,champions,0,0,1
269,freight,,one,champions,0,0,1
270,honeybee,,one,champions,0,0,1
271,blemish,,one,champions,0,0,1
272,crumpet,,one,champions,0,0,1
273,blizzard,,one,champions,0,0,1
274,squirm,,one,champions,0,0,1
275,harmonious,,one,champions,0,0,1
276,lawyer,,one,champions,0,0,1
277,valiant,,one,champions,0,0,1
278,purse,,one,champions,0,0,1
279,raisin,,one,champions,0,0,1
280,trumpet,,one,champions,0,0,1
281,bias,,one,champions,0,0,1
282,lettuce,,one,champions,0,0,1
283,shamrock,,one,champions,0,0,1
284,Americana,,one,champions,0,0,1
285,monopolize,,one,champions,0,0,1
286,water,,one,champions,0,0,1
287,marathon,,one,champions,0,0,1
288,omission,,one,champions,0,0,1
289,newbie,,one,champions,0,0,1
290,spreadsheet,,one,champions,0,0,1
291,badger,,one,champions,0,0,1
292,fortification,,one,champions,0,0,1
293,hydra,,one,champions,0,0,1
294,grouse,,one,champions,0,0,1
295,manta,,one,champions,0,0,1
296,astonish,,one,champions,0,0,1
297,fashionista,,one,champions,0,0,1
298,stubble,,one,champions,0,0,1
299,genius,,one,champions,0,0,1
300,nuance,,one,champions,0,0,1
301,stencil,,one,champions,0,0,1
302,penguin,,one,champions,0,0,1
303,freckle,,one,champions,0,0,1
304,blooper,,one,champions,0,0,1
305,misconception,,one,champions,0,0,1
306,lambkin,,one,champions,0,0,1
307,chowder,,one,champions,0,0,1
308,sunflower,,one,champions,0,0,1
309,lambasted,,one,champions,0,0,1
310,volumetric,,one,champions,0,0,1
311,flattery,,one,champions,0,0,1
312,simmer,,one,champions,0,0,1
313,whisk,,one,champions,0,0,1
314,bathtub,,one,champions,0,0,1
315,fantastically,,one,champions,0,0,1
316,failure,,one,champions,0,0,1
317,tolerable,,one,champions,0,0,1
318,mosquito,,one,champions,0,0,1
319,target,,one,champions,0,0,1
320,angora,,one,champions,0,0,1
321,snippet,,one,champions,0,0,1
322,ascribe,,one,champions,0,0,1
323,hodgepodge,,one,champions,0,0,1
324,verbiage,,one,champions,0,0,1
325,nephew,,one,champions,0,0,1
326,imbibe,,one,champions,0,0,1
327,savvy,,one,champions,0,0,1
328,reckon,,one,champions,0,0,1
329,boorish,,one,champions,0,0,1
330,tarmac,,one,champions,0,0,1
331,iteration,,one,champions,0,0,1
332,nurture,,one,champions,0,0,1
333,volcano,,one,champions,0,0,1
334,forensics,,one,champions,0,0,1
335,miraculous,,one,champions,0,0,1
336,trendy,,one,champions,0,0,1
337,permafrost,,one,champions,0,0,1
338,iceberg,,one,champions,0,0,1
339,cactus,,one,champions,0,0,1
340,nationalism,,one,champions,0,0,1
341,leeway,,one,champions,0,0,1
342,pilferer,,one,champions,0,0,1
343,rollicking,,one,champions,0,0,1
344,quart,,one,champions,0,0,1
345,lactose,,one,champions,0,0,1
346,domineering,,one,champions,0,0,1
347,onion,,one,champions,0,0,1
348,abandon,,one,champions,0,0,1
349,vault,,one,champions,0,0,1
350,junior,,one,champions,0,0,1
351,hamlet,,one,champions,0,0,1
352,jubilant,,one,champions,0,0,1
353,thawed,,one,champions,0,0,1
354,uncle,,one,champions,0,0,1
355,dawdle,,one,champions,0,0,1
356,mogul,,one,champions,0,0,1
357,troll,,one,champions,0,0,1
358,kindred,,one,champions,0,0,1
359,tantrum,,one,champions,0,0,1
360,science,,one,champions,0,0,1
361,cement,,one,champions,0,0,1
362,venomous,,one,champions,0,0,1
363,plaintiff,,one,champions,0,0,1
364,mayhem,,one,champions,0,0,1
365,thicket,,one,champions,0,0,1
366,gymnastics,,one,champions,0,0,1
367,island,,one,champions,0,0,1
368,peacenik,,one,champions,0,0,1
369,ounce,,one,champions,0,0,1
370,memorandum,,one,champions,0,0,1
371,bother,,one,champions,0,0,1
372,missile,,one,champions,0,0,1
373,munchkin,,one,champions,0,0,1
374,banana,,one,champions,0,0,1
375,furnace,,one,champions,0,0,1
376,foothills,,one,champions,0,0,1
377,tongue,,one,champions,0,0,1
378,caterpillar,,one,champions,0,0,1
379,wasp,,one,champions,0,0,1
380,kudos,,one,champions,0,0,1
381,alpha,,one,champions,0,0,1
382,shebang,,one,champions,0,0,1
383,tibia,,one,champions,0,0,1
384,hazelnut,,one,champions,0,0,1
385,votive,,one,champions,0,0,1
386,lantern,,one,champions,0,0,1
387,mince,,one,champions,0,0,1
388,bubbly,,one,champions,0,0,1
389,graham,,one,champions,0,0,1
390,headlong,,one,champions,0,0,1
391,timber,,one,champions,0,0,1
392,medallion,,one,champions,0,0,1
393,maximum,,one,champions,0,0,1
394,clover,,one,champions,0,0,1
395,casino,,one,champions,0,0,1
396,distinctive,,one,champions,0,0,1
397,mister,,one,champions,0,0,1
398,warning,,one,champions,0,0,1
399,useful,,one,champions,0,0,1
400,difficult,,one,champions,0,0,1
401,mischief,,one,champions,0,0,1
402,talent,,one,champions,0,0,1
403,kiwi,,one,champions,0,0,1
404,publish,,one,champions,0,0,1
405,mutter,,one,champions,0,0,1
406,sedentary,,one,champions,0,0,1
407,divine,,one,champions,0,0,1
408,lexicon,,one,champions,0,0,1
409,bristle,,one,champions,0,0,1
410,daresay,,one,champions,0,0,1
411,owlishly,,one,champions,0,0,1
412,criminal,,one,champions,0,0,1
413,recipient,,one,champions,0,0,1
414,strong,,one,champions,0,0,1
415,canteen,,one,champions,0,0,1
416,aviation,,one,champions,0,0,1
417,lucky,,one,champions,0,0,1
418,rocket,,one,champions,0,0,1
419,reflect,,one,champions,0,0,1
420,scent,,one,champions,0,0,1
421,puzzles,,one,champions,0,0,1
422,scumble,,one,champions,0,0,1
423,extinct,,one,champions,0,0,1
424,jersey,,one,champions,0,0,1
425,trapezoid,,one,champions,0,0,1
426,dillydally,,one,champions,0,0,1
427,haggle,,one,champions,0,0,1
428,sword,,one,champions,0,0,1
429,mastiff,,one,champions,0,0,1
430,cooperate,,one,champions,0,0,1
431,merchandise,,one,champions,0,0,1
432,gauntlet,,one,champions,0,0,1
433,apology,,one,champions,0,0,1
434,carnival,,one,champions,0,0,1
435,buffoonery,,one,champions,0,0,1
436,intellectual,,one,champions,0,0,1
437,tickled,,one,champions,0,0,1
438,domino,,one,champions,0,0,1
439,ignite,,one,champions,0,0,1
440,legacy,,one,champions,0,0,1
441,splurge,,one,champions,0,0,1
442,neigh,,one,champions,0,0,1
443,cabbage,,one,champions,0,0,1
444,erode,,one,champions,0,0,1
445,formalize,formalise,one,champions,0,0,1
446,anyway,,one,champions,0,0,1
447,isolation,,one,champions,0,0,1
448,measly,,one,champions,0,0,1
449,apprehensive,,one,champions,0,0,1
450,zither,,one,champions,0,0,1
451,lamentable,,one,champions,0,0,1
452,brilliant,,one,champions,0,0,1
453,competitive,,one,champions,0,0,1
454,lounge,,one,champions,0,0,1
455,supper,,one,champions,0,0,1
456,explosive,,one,champions,0,0,1
457,cajole,,one,champions,0,0,1
458,bauble,,one,champions,0,0,1
459,happenstance,,one,champions,0,0,1
460,tussle,,one,champions,0,0,1
461,inched,,one,champions,0,0,1
462,dimension,,one,champions,0,0,1
463,ugliness,,one,champions,0,0,1
464,quack,,one,champions,0,0,1
465,spider,,one,champions,0,0,1
466,weather,,one,champions,0,0,1
467,twinge,,one,champions,0,0,1
468,poncho,,one,champions,0,0,1
469,hooligan,,one,champions,0,0,1
470,decade,,one,champions,0,0,1
471,forbidden,,one,champions,0,0,1
472,jumbo,,one,champions,0,0,1
473,mortal,,one,champions,0,0,1
474,bugaboo,,one,champions,0,0,1
475,standard,,one,champions,0,0,1
476,yearn,,one,champions,0,0,1
477,primatologist,,one,champions,0,0,1
478,voluntary,,one,champions,0,0,1
479,furious,,one,champions,0,0,1
480,wombat,,one,champions,0,0,1
481,marginalize,,one,champions,0,0,1
482,swipe,,one,champions,0,0,1
483,eternity,,one,champions,0,0,1
484,imagery,,one,champions,0,0,1
485,pastel,,one,champions,0,0,1
486,twice,,one,champions,0,0,1
487,megahertz,,one,champions,0,0,1
488,gnash,,one,champions,0,0,1
489,knuckle,,one,champions,0,0,1
490,bribery,,one,champions,0,0,1
491,glucose,,one,champions,0,0,1
492,mower,,one,champions,0,0,1
493,campus,,one,champions,0,0,1
494,infant,,one,champions,0,0,1
495,thunderbolt,,one,champions,0,0,1
496,despicable,,one,champions,0,0,1
497,elderly,,one,champions,0,0,1
498,amigo,,one,champions,0,0,1
499,bestow,,one,champions,0,0,1
500,gung-ho,,one,champions,0,0,1
501,umbrella,,one,champions,0,0,1
502,synthetic,,one,champions,0,0,1
503,cloying,,one,champions,0,0,1
504,olive,,one,champions,0,0,1
505,truth,,one,champions,0,0,1
506,balderdash,,one,champions,0,0,1
507,infringe,,one,champions,0,0,1
508,interloper,,one,champions,0,0,1
509,routine,,one,champions,0,0,1
510,privacy,,one,champions,0,0,1
511,decision,,one,champions,0,0,1
512,farfetched,,one,champions,0,0,1
513,linen,,one,champions,0,0,1
514,piratical,,one,champions,0,0,1
515,pigsty,,one,champions,0,0,1
516,misery,,one,champions,0,0,1
517,months,,one,champions,0,0,1
518,guffaw,,one,champions,0,0,1
519,caravan,,one,champions,0,0,1
520,culinary,,one,champions,0,0,1
521,boycott,,one,champions,0,0,1
522,calzone,,one,champions,0,0,1
523,bawl,,one,champions,0,0,1
524,circle,,one,champions,0,0,1
525,respect,,one,champions,0,0,1
526,introverted,,one,champions,0,0,1
527,fuddy-duddy,,one,champions,0,0,1
528,pulley,,one,champions,0,0,1
529,Kodiak,,one,champions,0,0,1
530,misinterpret,,one,champions,0,0,1
531,twee,,one,champions,0,0,1
532,holiday,,one,champions,0,0,1
533,indigo,,one,champions,0,0,1
534,forage,,one,champions,0,0,1
535,tooth,,one,champions,0,0,1
536,dauntlessly,,one,champions,0,0,1
537,faucet,,one,champions,0,0,1
538,scheme,,one,champions,0,0,1
539,cough,,one,champions,0,0,1
540,straw,,one,champions,0,0,1
541,hooves,,one,champions,0,0,1
542,shadow,,one,champions,0,0,1
543,meekness,,one,champions,0,0,1
544,squall,squawl,one,champions,0,0,1
545,omen,,one,champions,0,0,1
546,militant,,one,champions,0,0,1
547,civics,,one,champions,0,0,1
548,locker,,one,champions,0,0,1
549,jabberwocky,,one,champions,0,0,1
550,detention,,one,champions,0,0,1
551,sparkle,,one,champions,0,0,1
552,calico,,one,champions,0,0,1
553,theme,,one,champions,0,0,1
554,literacy,,one,champions,0,0,1
555,loathe,,one,champions,0,0,1
556,axle,,one,champions,0,0,1
557,glimmer,,one,champions,0,0,1
558,vacation,,one,champions,0,0,1
559,napkin,,one,champions,0,0,1
560,overrun,,one,champions,0,0,1
561,yellowfin,,one,champions,0,0,1
562,clodhopper,,one,champions,0,0,1
563,crayon,,one,champions,0,0,1
564,bakery,,one,champions,0,0,1
565,porridge,,one,champions,0,0,1
566,eyelet,,one,champions,0,0,1
567,yeti,,one,champions,0,0,1
568,groove,,one,champions,0,0,1
569,estimate,,one,champions,0,0,1
570,cattail,,one,champions,0,0,1
571,paraphrase,,one,champions,0,0,1
572,heartthrob,,one,champions,0,0,1
573,cheek,,one,champions,0,0,1
574,daughter,,one,champions,0,0,1
575,laser,,one,champions,0,0,1
576,invoke,,one,champions,0,0,1
577,upshot,,one,champions,0,0,1
578,climate,,one,champions,0,0,1
579,Yankee,,one,champions,0,0,1
580,dim-sum,,one,champions,0,0,1
581,moose,,one,champions,0,0,1
582,cuckoo,,one,champions,0,0,1
583,dilemma,,one,champions,0,0,1
584,outrageous,,one,champions,0,0,1
585,silver,,one,champions,0,0,1
586,fedora,,one,champions,0,0,1
587,wildcat,,one,champions,0,0,1
588,monstrosity,,one,champions,0,0,1
589,sofa,,one,champions,0,0,1
590,eggplant,,one,champions,0,0,1
591,kosher,,one,champions,0,0,1
592,minority,,one,champions,0,0,1
593,default,,one,champions,0,0,1
594,heroic,,one,champions,0,0,1
595,bombard,,one,champions,0,0,1
596,furtive,,one,champions,0,0,1
597,journal,,one,champions,0,0,1
598,tulip,,one,champions,0,0,1
599,myself,,one,champions,0,0,1
600,marine,,one,champions,0,0,1
601,cloudy,,one,champions,0,0,1
602,cricket,,one,champions,0,0,1
603,motto,,one,champions,0,0,1
604,torch,,one,champions,0,0,1
605,pamper,,one,champions,0,0,1
606,pleasant,,one,champions,0,0,1
607,robin,,one,champions,0,0,1
608,historical,,one,champions,0,0,1
609,rules,,one,champions,0,0,1
610,geometric,,one,champions,0,0,1
611,villa,,one,champions,0,0,1
612,midriff,,one,champions,0,0,1
613,teaspoon,,one,champions,0,0,1
614,worrywart,,one,champions,0,0,1
615,developer,,one,champions,0,0,1
616,shopaholic,,one,champions,0,0,1
617,magma,,one,champions,0,0,1
618,briefcase,,one,champions,0,0,1
619,deputy,,one,champions,0,0,1
620,mangrove,,one,champions,0,0,1
621,enfranchise,,one,champions,0,0,1
622,kiln,,one,champions,0,0,1
623,webisode,,one,champions,0,0,1
624,kangaroo,,one,champions,0,0,1
625,Romeo,,one,champions,0,0,1
626,emerge,,one,champions,0,0,1
627,twitchy,,one,champions,0,0,1
628,arrogant,,one,champions,0,0,1
629,normative,,one,champions,0,0,1
630,homework,,one,champions,0,0,1
631,mildew,,one,champions,0,0,1
632,pattern,,one,champions,0,0,1
633,coffee,,one,champions,0,0,1
634,botch,,one,champions,0,0,1
635,receptacle,,one,champions,0,0,1
636,bagpipe,,one,champions,0,0,1
637,bonfire,,one,champions,0,0,1
638,abruptly,,one,champions,0,0,1
639,bushel,,one,champions,0,0,1
640,skedaddle,,one,champions,0,0,1
641,toddler,,one,champions,0,0,1
642,everglades,,one,champions,0,0,1
643,pellet,,one,champions,0,0,1
644,klutz,,one,champions,0,0,1
645,envoy,,one,champions,0,0,1
646,postpone,,one,champions,0,0,1
647,wafer,,one,champions,0,0,1
648,software,,one,champions,0,0,1
649,factoid,,one,champions,0,0,1
650,marvelous,marvellous,one,champions,0,0,1
651,evince,,one,champions,0,0,1
652,season,,one,champions,0,0,1
653,horizon,,one,champions,0,0,1
654,arborio,,one,champions,0,0,1
655,cartoon,,one,champions,0,0,1
656,dough,,one,champions,0,0,1
657,emperor,,one,champions,0,0,1
658,utterable,,one,champions,0,0,1
659,leniency,,one,champions,0,0,1
660,frivolous,,one,champions,0,0,1
661,potato,,one,champions,0,0,1
662,wholehearted,,one,champions,0,0,1
663,metadata,,one,champions,0,0,1
664,farewell,,one,champions,0,0,1
665,hypnotic,,one,champions,0,0,1
666,jewel,,one,champions,0,0,1
667,tangible,,one,champions,0,0,1
668,nourish,,one,champions,0,0,1
669,vulpine,,one,champions,0,0,1
670,aloha,,one,champions,0,0,1
671,entrance,,one,champions,0,0,1
672,kindergarten,,one,champions,0,0,1
673,restaurant,,one,champions,0,0,1
674,functionary,,one,champions,0,0,1
675,dodge,,one,champions,0,0,1
676,iota,,one,champions,0,0,1
677,gelato,,one,champions,0,0,1
678,hankering,,one,champions,0,0,1
679,esteem,,one,champions,0,0,1
680,knack,,one,champions,0,0,1
681,satisfactory,,one,champions,0,0,1
682,barefoot,,one,champions,0,0,1
683,trope,,one,champions,0,0,1
684,knock,,one,champions,0,0,1
685,whittle,,one,champions,0,0,1
686,joyful,,one,champions,0,0,1
687,genuine,,one,champions,0,0,1
688,recluse,,one,champions,0,0,1
689,shield,,one,champions,0,0,1
690,tiger,,one,champions,0,0,1
691,romaine,,one,champions,0,0,1
692,migraine,,one,champions,0,0,1
693,oasis,,one,champions,0,0,1
694,navigator,,one,champions,0,0,1
695,humane,,one,champions,0,0,1
696,polenta,,one,champions,0,0,1
697,delicacy,,one,champions,0,0,1
698,noggin,,one,champions,0,0,1
699,background,,one,champions,0,0,1
700,thistle,,one,champions,0,0,1
701,***althorn,,one,champions,0,0,1
702,Spaniel,,one,champions,0,0,1
703,kilt,,one,champions,0,0,1
704,whirlybird,,one,champions,0,0,1
705,Hungary,,one,champions,0,0,1
706,welding,,one,champions,0,0,1
707,aforesaid,,one,champions,0,0,1
708,varnish,,one,champions,0,0,1
709,spindle,,one,champions,0,0,1
710,wheedle,,one,champions,0,0,1
711,whelp,,one,champions,0,0,1
712,yonder,,one,champions,0,0,1
713,riffraff,,one,champions,0,0,1
714,restive,,one,champions,0,0,1
715,various,,one,champions,0,0,1
716,giggle,,one,champions,0,0,1
717,bowie,,one,champions,0,0,1
718,teemed,,one,champions,0,0,1
719,soppiness,,one,champions,0,0,1
720,bask,,one,champions,0,0,1
721,lateral,,one,champions,0,0,1
722,usher,,one,champions,0,0,1
723,prone,,one,champions,0,0,1
724,selfie,,one,champions,0,0,1
725,skydiving,,one,champions,0,0,1
726,memes,,one,champions,0,0,1
727,nuggets,,one,champions,0,0,1
728,frailty,,one,champions,0,0,1
729,sweltering,,one,champions,0,0,1
730,scrounge,,one,champions,0,0,1
731,praise,,one,champions,0,0,1
732,scripture,,one,champions,0,0,1
733,ulna,,one,champions,0,0,1
734,fellowship,,one,champions,0,0,1
735,amass,,one,champions,0,0,1
736,missive,,one,champions,0,0,1
737,jitterbug,,one,champions,0,0,1
738,kennel,,one,champions,0,0,1
739,heavenly,,one,champions,0,0,1
740,shindig,,one,champions,0,0,1
741,melody,,one,champions,0,0,1
742,membership,,one,champions,0,0,1
743,oblong,,one,champions,0,0,1
744,yammer,,one,champions,0,0,1
745,whereas,,one,champions,0,0,1
746,coercive,,one,champions,0,0,1
747,bailiff,,one,champions,0,0,1
748,infiltrate,,one,champions,0,0,1
749,skirmish,,one,champions,0,0,1
750,constituent,,one,champions,0,0,1
751,flounder,,one,champions,0,0,1
752,cleave,,one,champions,0,0,1
753,millionaire,,one,champions,0,0,1
754,concrete,,one,champions,0,0,1
755,slurry,,one,champions,0,0,1
756,heiress,,one,champions,0,0,1
757,reign,,one,champions,0,0,1
758,spectral,,one,champions,0,0,1
759,dialect,,one,champions,0,0,1
760,heist,,one,champions,0,0,1
761,avenue,,one,champions,0,0,1
762,pending,,one,champions,0,0,1
763,ewe,,one,champions,0,0,1
764,stagestruck,,one,champions,0,0,1
765,standee,,one,champions,0,0,1
766,sailage,,one,champions,0,0,1
767,yoo-hoo,,one,champions,0,0,1
768,profiteer,,one,champions,0,0,1
769,kernel,,one,champions,0,0,1
770,tawny,,one,champions,0,0,1
771,scalp,,one,champions,0,0,1
772,scrapple,,one,champions,0,0,1
773,nominee,,one,champions,0,0,1
774,martial,,one,champions,0,0,1
775,acumen,,one,champions,0,0,1
776,infirm,,one,champions,0,0,1
777,bleary,,one,champions,0,0,1
778,attitude,,one,champions,0,0,1
779,beseech,,one,champions,0,0,1
780,sunseeker,,one,champions,0,0,1
781,cornily,,one,champions,0,0,1
782,contraction,,one,champions,0,0,1
783,scooter,,one,champions,0,0,1
