word,level,group
auctioneer,frequent,CWL
audacious,frequent,CWL
audacity,frequent,CWL
audience,frequent,CWL
audition,frequent,CWL
auger,frequent,CWL
augment,frequent,CWL
augur,frequent,CWL
augury,frequent,CWL
auk,frequent,CWL
aureate,frequent,CWL
aureity,frequent,CWL
aurelian,frequent,CWL
auricle,frequent,CWL
auricular,frequent,CWL
auriferous,frequent,CWL
aurora,frequent,CWL
auscultation,frequent,CWL
auslander,frequent,CWL
auspices,frequent,CWL
austere,frequent,CWL
authentic,frequent,CWL
author,frequent,CWL
authoritative,frequent,CWL
autobahn,frequent,CWL
autodidact,frequent,CWL
autonomous,frequent,CWL
autonomy,frequent,CWL
autopsy,frequent,CWL
autumn,frequent,CWL
autumnal,frequent,CWL
auxiliary,frequent,CWL
available,frequent,CWL
avalanche,frequent,CWL
avalement,frequent,CWL
avarice,frequent,CWL
avaricious,frequent,CWL
averred,frequent,CWL
aviator,frequent,CWL
avionics,frequent,CWL
avocado,frequent,CWL
avocet,frequent,CWL
avoirdupois,frequent,CWL
avuncular,frequent,CWL
awe,frequent,CWL
awestruck,frequent,CWL
awl,frequent,CWL
awry,frequent,CWL
axiology,frequent,CWL
axiom,frequent,CWL
axunge,frequent,CWL
ayatollah,frequent,CWL
azimuth,frequent,CWL
azotea,frequent,CWL
azure,frequent,CWL
babblative,frequent,CWL
baboon,frequent,CWL
babushka,frequent,CWL
Babylonian,frequent,CWL
baccalaureate,frequent,CWL
bacchanalian,frequent,CWL
bacciferous,frequent,CWL
bachelor,frequent,CWL
bacillus,frequent,CWL
backfisch,frequent,CWL
backgammon,frequent,CWL
bacteriolytic,frequent,CWL
badgeringly,frequent,CWL
badigeon,frequent,CWL
badinage,frequent,CWL
badminton,frequent,CWL
Baedeker,frequent,CWL
bagatelle,frequent,CWL
bagel,frequent,CWL
baignoire,frequent,CWL
bailiff,frequent,CWL
bailiwick,frequent,CWL
baize,frequent,CWL
balaclava,frequent,CWL
balalaika,frequent,CWL
balbriggan,frequent,CWL
balcony,frequent,CWL
balestra,frequent,CWL
ballast,frequent,CWL
ballerina,frequent,CWL
balletomane,frequent,CWL
ballistic,frequent,CWL
ballistics,frequent,CWL
balloon,frequent,CWL
balminess,frequent,CWL
balmoral,frequent,CWL
balneation,frequent,CWL
balsam,frequent,CWL
balustrade,frequent,CWL
bamboo,frequent,CWL
bamboozle,frequent,CWL
banality,frequent,CWL
banana,frequent,CWL
banausic,frequent,CWL
bandage,frequent,CWL
bandalore,frequent,CWL
bandicoot,frequent,CWL
banditry,frequent,CWL
banishment,frequent,CWL
banjo,frequent,CWL
banjorine,frequent,CWL
bankruptcy,frequent,CWL
banquet,frequent,CWL
baobab,frequent,CWL
baptismal,frequent,CWL
baragouin,frequent,CWL
barbaric,frequent,CWL
barbarism,frequent,CWL
barbarous,frequent,CWL
barbellate,frequent,CWL
barbican,frequent,CWL
barbiturate,frequent,CWL
bardiglio,frequent,CWL
bargain,frequent,CWL
bargello,frequent,CWL
bariolage,frequent,CWL
barker,frequent,CWL
barnacle,frequent,CWL
barnacled,frequent,CWL
barnstorm,frequent,CWL
barognosis,frequent,CWL
barometer,frequent,CWL
baronet,frequent,CWL
baronial,frequent,CWL
baroque,frequent,CWL
barothermograph,frequent,CWL
barouche,frequent,CWL
barracks,frequent,CWL
barrage,frequent,CWL
barratry,frequent,CWL
barrel,frequent,CWL
barren,frequent,CWL
barricade,frequent,CWL
barrio,frequent,CWL
bartizan,frequent,CWL
bascule,frequent,CWL
bashful,frequent,CWL
basilica,frequent,CWL
basilisk,frequent,CWL
basin,frequent,CWL
basmati,frequent,CWL
bassoon,frequent,CWL
bastion,frequent,CWL
bathymeter,frequent,CWL
bathymetry,frequent,CWL
bathyscaphe,frequent,CWL
batik,frequent,CWL
batiste,frequent,CWL
batrachoid,frequent,CWL
battalion,frequent,CWL
bauble,frequent,CWL
bavardage,frequent,CWL
bayonet,frequent,CWL
bayou,frequent,CWL
bazooka,frequent,CWL
beachcomber,frequent,CWL
beacon,frequent,CWL
beaker,frequent,CWL
beatitude,frequent,CWL
beaujolais,frequent,CWL
beaumontage,frequent,CWL
beauteous,frequent,CWL
bedizenment,frequent,CWL
bedlam,frequent,CWL
bedstead,frequent,CWL
been,frequent,CWL
beflustered,frequent,CWL
beforehand,frequent,CWL
beggar,frequent,CWL
beguile,frequent,CWL
beguiling,frequent,CWL
beguine,frequent,CWL
behemoth,frequent,CWL
beige,frequent,CWL
beleaguer,frequent,CWL
belemnoid,frequent,CWL
believe,frequent,CWL
bellicose,frequent,CWL
belligerent,frequent,CWL
bellipotent,frequent,CWL
bellwether,frequent,CWL
bellwort,frequent,CWL
belomancy,frequent,CWL
belton,frequent,CWL
benediction,frequent,CWL
beneficence,frequent,CWL
beneficent,frequent,CWL
benevolence,frequent,CWL
benevolent,frequent,CWL
benignant,frequent,CWL
benison,frequent,CWL
bequeath,frequent,CWL
berceuse,frequent,CWL
bereave,frequent,CWL
bereavement,frequent,CWL
beret,frequent,CWL
bergamot,frequent,CWL
bergschrund,frequent,CWL
beriberi,frequent,CWL
berouged,frequent,CWL
berylloid,frequent,CWL
besmirched,frequent,CWL
besom,frequent,CWL
bestial,frequent,CWL
betacism,frequent,CWL
bethel,frequent,CWL
bevel,frequent,CWL
bevy,frequent,CWL
bewilder,frequent,CWL
bewitched,frequent,CWL
bialys,frequent,CWL
bibelot,frequent,CWL
biblioclast,frequent,CWL
bibliography,frequent,CWL
biblioklept,frequent,CWL
bibliopegy,frequent,CWL
bibliothecarial,frequent,CWL
bibliotics,frequent,CWL
bicameral,frequent,CWL
bicentennial,frequent,CWL
biceps,frequent,CWL
biennial,frequent,CWL
bifurcation,frequent,CWL
bijou,frequent,CWL
bijouterie,frequent,CWL
bikini,frequent,CWL
bilateral,frequent,CWL
bilge,frequent,CWL
bilharzia,frequent,CWL
bilingual,frequent,CWL
billeted,frequent,CWL
billiards,frequent,CWL
billionaire,frequent,CWL
billon,frequent,CWL
biloculine,frequent,CWL
bimestrial,frequent,CWL
bimillenary,frequent,CWL
binary,frequent,CWL
binoculars,frequent,CWL
binomial,frequent,CWL
bioluminescent,frequent,CWL
biopsy,frequent,CWL
bireme,frequent,CWL
bisagre,frequent,CWL
biscuit,frequent,CWL
bise,frequent,CWL
bisector,frequent,CWL
bittern,frequent,CWL
bivouac,frequent,CWL
bizarre,frequent,CWL
blague,frequent,CWL
blandishment,frequent,CWL
blanquette,frequent,CWL
blarney,frequent,CWL
blasphemous,frequent,CWL
blasphemously,frequent,CWL
blasphemy,frequent,CWL
blatant,frequent,CWL
blather,frequent,CWL
blatherskite,frequent,CWL
blazon,frequent,CWL
bleach,frequent,CWL
bleary,frequent,CWL
blemish,frequent,CWL
blenny,frequent,CWL
blepharal,frequent,CWL
blessing,frequent,CWL
blight,frequent,CWL
blissful,frequent,CWL
blithe,frequent,CWL
blitz,frequent,CWL
blitzkrieg,frequent,CWL
blizzard,frequent,CWL
blossom,frequent,CWL
blossoming,frequent,CWL
blotch,frequent,CWL
blouse,frequent,CWL
bloviate,frequent,CWL
blucher,frequent,CWL
bludgeon,frequent,CWL
blueprint,frequent,CWL
blunderbuss,frequent,CWL
bobbin,frequent,CWL
bobolink,frequent,CWL
bocaccio,frequent,CWL
bocage,frequent,CWL
bodega,frequent,CWL
boiserie,frequent,CWL
boisterous,frequent,CWL
bole,frequent,CWL
bolero,frequent,CWL
bolide,frequent,CWL
Bolshevik,frequent,CWL
bonanza,frequent,CWL
bonhomous,frequent,CWL
boniface,frequent,CWL
bonnet,frequent,CWL
bonsai,frequent,CWL
bookcase,frequent,CWL
bookkeeper,frequent,CWL
boomerang,frequent,CWL
boondoggle,frequent,CWL
Bordelaise,frequent,CWL
bordereaux,frequent,CWL
borderline,frequent,CWL
bore,frequent,CWL
borealization,frequent,CWL
borzoi,frequent,CWL
bosky,frequent,CWL
botanist,frequent,CWL
botany,frequent,CWL
botcher,frequent,CWL
both,frequent,CWL
botuliform,frequent,CWL
boudoir,frequent,CWL
bough,frequent,CWL
bouillabaisse,frequent,CWL
bouillon,frequent,CWL
boulevard,frequent,CWL
boulevardier,frequent,CWL
boundary,frequent,CWL
bounteous,frequent,CWL
bountiful,frequent,CWL
bouquet,frequent,CWL
bouquiniste,frequent,CWL
bourgeois,frequent,CWL
bourgeoisie,frequent,CWL
boutonniere,frequent,CWL
bowdlerize,frequent,CWL
bowery,frequent,CWL
bowline,frequent,CWL
boycott,frequent,CWL
boysenberry,frequent,CWL
bracelet,frequent,CWL
brachiate,frequent,CWL
brachygraphy,frequent,CWL
brachylogy,frequent,CWL
bradawl,frequent,CWL
bradycardia,frequent,CWL
bradyseism,frequent,CWL
braggadocio,frequent,CWL
brankursine,frequent,CWL
brannigan,frequent,CWL
brasserie,frequent,CWL
bratwurst,frequent,CWL
braunschweiger,frequent,CWL
bravura,frequent,CWL
brawniness,frequent,CWL
brazen,frequent,CWL
breach,frequent,CWL
breakfast,frequent,CWL
breath,frequent,CWL
breccia,frequent,CWL
bretelle,frequent,CWL
brevet,frequent,CWL
breviloquent,frequent,CWL
brevity,frequent,CWL
bridle,frequent,CWL
briefcase,frequent,CWL
brigadier,frequent,CWL
brigand,frequent,CWL
brigantine,frequent,CWL
brightness,frequent,CWL
brilliant,frequent,CWL
brimstone,frequent,CWL
brine,frequent,CWL
brininess,frequent,CWL
brioche,frequent,CWL
broach,frequent,CWL
broadcaster,frequent,CWL
brocade,frequent,CWL
brochette,frequent,CWL
brochure,frequent,CWL
brockage,frequent,CWL
bromeliad,frequent,CWL
bronchial,frequent,CWL
bronchitis,frequent,CWL
brontometer,frequent,CWL
bronze,frequent,CWL
brougham,frequent,CWL
brouhaha,frequent,CWL
brucellosis,frequent,CWL
bruise,frequent,CWL
bruit,frequent,CWL
brujo,frequent,CWL
brume,frequent,CWL
brummagem,frequent,CWL
brumous,frequent,CWL
brutal,frequent,CWL
bruxism,frequent,CWL
buccaneer,frequent,CWL
buccolingual,frequent,CWL
buckboard,frequent,CWL
buckram,frequent,CWL
bucolic,frequent,CWL
Buddhism,frequent,CWL
budgetary,frequent,CWL
buffalo,frequent,CWL
buffoon,frequent,CWL
buffoonery,frequent,CWL
bugaboo,frequent,CWL
bulbous,frequent,CWL
bulgur,frequent,CWL
bulletin,frequent,CWL
bulletinize,frequent,CWL
bullion,frequent,CWL
bullionist,frequent,CWL
bumptiously,frequent,CWL
bungalow,frequent,CWL
buoyant,frequent,CWL
buoyantly,frequent,CWL
buran,frequent,CWL
bureaucracy,frequent,CWL
bureaucrat,frequent,CWL
burgher,frequent,CWL
burgherly,frequent,CWL
burgoo,frequent,CWL
burin,frequent,CWL
burly,frequent,CWL
burrito,frequent,CWL
bursar,frequent,CWL
bursiculate,frequent,CWL
bursitis,frequent,CWL
busby,frequent,CWL
bushel,frequent,CWL
butte,frequent,CWL
butterfly,frequent,CWL
butterscotch,frequent,CWL
buttress,frequent,CWL
butyraceous,frequent,CWL
buzzard,frequent,CWL
by,frequent,CWL
byssinosis,frequent,CWL
byte,frequent,CWL
Byzantine,frequent,CWL
cabana,frequent,CWL
cabaret,frequent,CWL
cabinet,frequent,CWL
cabochon,frequent,CWL
cabriole,frequent,CWL
cache,frequent,CWL
cachet,frequent,CWL
cachinnate,frequent,CWL
cachinnation,frequent,CWL
cacography,frequent,CWL
cacophonous,frequent,CWL
cacophony,frequent,CWL
cacuminal,frequent,CWL
cadaver,frequent,CWL
cadaverous,frequent,CWL
cadence,frequent,CWL
cadre,frequent,CWL
caduceus,frequent,CWL
cafeteria,frequent,CWL
caisson,frequent,CWL
caitiff,frequent,CWL
cajole,frequent,CWL
cajolery,frequent,CWL
calabash,frequent,CWL
caladium,frequent,CWL
calamine,frequent,CWL
calamity,frequent,CWL
calcium,frequent,CWL
calculate,frequent,CWL
calculator,frequent,CWL
calculiform,frequent,CWL
calculus,frequent,CWL
calefacient,frequent,CWL
calendar,frequent,CWL
calibrate,frequent,CWL
calico,frequent,CWL
caliginous,frequent,CWL
calisthenics,frequent,CWL
calisthenium,frequent,CWL
callidity,frequent,CWL
calligrapher,frequent,CWL
calliope,frequent,CWL
callously,frequent,CWL
callow,frequent,CWL
caloric,frequent,CWL
calque,frequent,CWL
calumet,frequent,CWL
calumny,frequent,CWL
calvities,frequent,CWL
calypso,frequent,CWL
camaraderie,frequent,CWL
cameline,frequent,CWL
cameo,frequent,CWL
camera,frequent,CWL
camionette,frequent,CWL
camisole,frequent,CWL
camouflage,frequent,CWL
camouflaged,frequent,CWL
camoufleur,frequent,CWL
campanile,frequent,CWL
camphor,frequent,CWL
campodeiform,frequent,CWL
campus,frequent,CWL
canaille,frequent,CWL
canard,frequent,CWL
canary,frequent,CWL
canasta,frequent,CWL
cancellous,frequent,CWL
cancrivorous,frequent,CWL
candelabra,frequent,CWL
candelabrum,frequent,CWL
candent,frequent,CWL
candescent,frequent,CWL
candidacy,frequent,CWL
candlewick,frequent,CWL
candor,frequent,CWL
canine,frequent,CWL
canitist,frequent,CWL
cannelloni,frequent,CWL
cannibal,frequent,CWL
cannibalism,frequent,CWL
cannonade,frequent,CWL
canny,frequent,CWL
canoe,frequent,CWL
canoeist,frequent,CWL
canopy,frequent,CWL
cantankerous,frequent,CWL
cantata,frequent,CWL
cantatory,frequent,CWL
canteen,frequent,CWL
canter,frequent,CWL
cantilever,frequent,CWL
cantonment,frequent,CWL
cantor,frequent,CWL
canvasser,frequent,CWL
capable,frequent,CWL
capacious,frequent,CWL
caparison,frequent,CWL
capillary,frequent,CWL
capital,frequent,CWL
capitatim,frequent,CWL
capitulate,frequent,CWL
cappelletti,frequent,CWL
cappuccino,frequent,CWL
capriccioso,frequent,CWL
caprice,frequent,CWL
capricious,frequent,CWL
capsize,frequent,CWL
capstan,frequent,CWL
capsule,frequent,CWL
caracole,frequent,CWL
carafe,frequent,CWL
caramel,frequent,CWL
caramelize,frequent,CWL
carbohydrate,frequent,CWL
carbonaceous,frequent,CWL
carbonate,frequent,CWL
carboy,frequent,CWL
carcass,frequent,CWL
carcinogen,frequent,CWL
cardiac,frequent,CWL
cardigan,frequent,CWL
cardinal,frequent,CWL
cardinalate,frequent,CWL
cardiomegaly,frequent,CWL
caribou,frequent,CWL
caricaturable,frequent,CWL
caricature,frequent,CWL
carillon,frequent,CWL
cark,frequent,CWL
carnage,frequent,CWL
carnival,frequent,CWL
